origin,destination,allowed
SOINS INTERMEDIAIRES,4E-ORTHOPEDIE/URO/ORL/PLASTIE,0
3B-GYNECO/OBS,4F-NEPHROLOGIE,1
3D-PEDIATRIE,4F-NEPHROLOGIE,1
3D PEDOPSYCHIATRIE,4F-NEPHROLOGIE,0
3F-EVAL./READAPTATION/AVC,4F-NEPHROLOGIE,1
3FSP-SOINS PALLIATIFS,4F-NEPHROLOGIE,0
4A-CHIR.GENERALE/GYN-ONCO/URO,4F-NEPHROLOGIE,1
4B-PSYCHIATRIE,4F-NEPHROLOGIE,0
4C-MED GEN/INTERNE/TELEMETRIE,4F-NEPHROLOGIE,1
4D ONCOLOGIE,4F-NEPHROLOGIE,1
4E-ORTHOPEDIE/URO/ORL/PLASTIE,4F-NEPHROLOGIE,1
4F-NEPHROLOGIE,4F-NEPHROLOGIE,1
SOINS INT MED CHIRURGICAUX,4F-NEPHROLOGIE,0
SOINS CORONARIENS,4F-NEPHROLOGIE,0
SOINS INTERMEDIAIRES,4F-NEPHROLOGIE,0
3B-GYNECO/OBS,SOINS INT MED CHIRURGICAUX,1
3D-PEDIATRIE,SOINS INT MED CHIRURGICAUX,1
3D PEDOPSYCHIATRIE,SOINS INT MED CHIRURGICAUX,0
3F-EVAL./READAPTATION/AVC,SOINS INT MED CHIRURGICAUX,1
3FSP-SOINS PALLIATIFS,SOINS INT MED CHIRURGICAUX,0
4A-CHIR.GENERALE/GYN-ONCO/URO,SOINS INT MED CHIRURGICAUX,1
4B-PSYCHIATRIE,SOINS INT MED CHIRURGICAUX,0
4C-MED GEN/INTERNE/TELEMETRIE,SOINS INT MED CHIRURGICAUX,1
4D ONCOLOGIE,SOINS INT MED CHIRURGICAUX,1
4E-ORTHOPEDIE/URO/ORL/PLASTIE,SOINS INT MED CHIRURGICAUX,1
4F-NEPHROLOGIE,SOINS INT MED CHIRURGICAUX,1
SOINS INT MED CHIRURGICAUX,SOINS INT MED CHIRURGICAUX,1
SOINS CORONARIENS,SOINS INT MED CHIRURGICAUX,1
SOINS INTERMEDIAIRES,SOINS INT MED CHIRURGICAUX,1
3B-GYNECO/OBS,SOINS CORONARIENS,1
3D-PEDIATRIE,SOINS CORONARIENS,1
3D PEDOPSYCHIATRIE,SOINS CORONARIENS,0
3F-EVAL./READAPTATION/AVC,SOINS CORONARIENS,1
3FSP-SOINS PALLIATIFS,SOINS CORONARIENS,0
4A-CHIR.GENERALE/GYN-ONCO/URO,SOINS CORONARIENS,1
4B-PSYCHIATRIE,SOINS CORONARIENS,0
4C-MED GEN/INTERNE/TELEMETRIE,SOINS CORONARIENS,1
4D ONCOLOGIE,SOINS CORONARIENS,1
4E-ORTHOPEDIE/URO/ORL/PLASTIE,SOINS CORONARIENS,1
4F-NEPHROLOGIE,SOINS CORONARIENS,1
SOINS INT MED CHIRURGICAUX,SOINS CORONARIENS,1
SOINS CORONARIENS,SOINS CORONARIENS,1
SOINS INTERMEDIAIRES,SOINS CORONARIENS,1
3B-GYNECO/OBS,SOINS INTERMEDIAIRES,1
3D-PEDIATRIE,SOINS INTERMEDIAIRES,1
3D PEDOPSYCHIATRIE,SOINS INTERMEDIAIRES,0
3F-EVAL./READAPTATION/AVC,SOINS INTERMEDIAIRES,1
3FSP-SOINS PALLIATIFS,SOINS INTERMEDIAIRES,0
4A-CHIR.GENERALE/GYN-ONCO/URO,SOINS INTERMEDIAIRES,1
4B-PSYCHIATRIE,SOINS INTERMEDIAIRES,0
4C-MED GEN/INTERNE/TELEMETRIE,SOINS INTERMEDIAIRES,1
4D ONCOLOGIE,SOINS INTERMEDIAIRES,1
4E-ORTHOPEDIE/URO/ORL/PLASTIE,SOINS INTERMEDIAIRES,1
4F-NEPHROLOGIE,SOINS INTERMEDIAIRES,1
SOINS INT MED CHIRURGICAUX,SOINS INTERMEDIAIRES,0
SOINS CORONARIENS,SOINS INTERMEDIAIRES,0
SOINS INTERMEDIAIRES,SOINS INTERMEDIAIRES,1
